Date,Close/Last,Volume,Open,High,Low
11/27/2024,550.55,3312219,552.04,552.38,549.11
11/26/2024,552.31,4438574,550.50,552.8199,549.85
11/25/2024,549.23,4305001,551.20,552.38,547.1999
11/22/2024,547.47,5574588,545.82,548.0496,545.37
11/21/2024,545.64,4530619,545.58,547.07,540.04
11/20/2024,542.90,3949060,542.78,543.07,537.44
11/19/2024,542.70,6978373,537.50,543.37,536.90
11/18/2024,540.73,4504246,538.92,541.93,538.145
11/15/2024,538.50,7360114,542.13,542.57,536.75
11/14/2024,545.54,3940282,549.10,549.57,544.88
11/13/2024,549.03,3701570,549.16,550.88,546.97
11/12/2024,548.75,4818613,550.39,550.94,546.43
11/11/2024,550.40,4893129,551.43,551.73,548.85
11/08/2024,549.95,6797976,548.07,551.24,548.06
11/07/2024,547.53,6051276,545.22,548.475,545.15
11/06/2024,543.30,7483337,541.65,544.14,538.17
11/05/2024,530.10,3300279,524.72,530.17,524.48
11/04/2024,523.80,3681461,525.06,526.28,522.0301
11/01/2024,524.94,6106942,525.16,529.08,524.5401
10/31/2024,522.67,7972774,529.09,529.23,522.51
10/30/2024,533.16,3067015,534.35,536.20,532.59
